,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,I19,SYBR,TFF1,miR-324,2-SI9,,34.72,35.03,0.446,4.413E-01,-0.355,3.58E-01,1.17E-01,60.0,
,I20,SYBR,TFF1,miR-324,2-SI9,,35.35,35.03,0.446,2.752E-01,-0.560,3.58E-01,1.17E-01,60.0,
,I21,SYBR,TFF1,miR-340,3-SI9,,33.36,33.86,0.703,1.219E+00,0.086,8.99E-01,4.53E-01,60.0,
,I22,SYBR,TFF1,miR-340,3-SI9,,34.35,33.86,0.703,5.791E-01,-0.237,8.99E-01,4.53E-01,60.0,
,J01,SYBR,GLP1,miR-110,1-SI10,,27.86,27.79,0.092,5.498E+00,0.740,5.81E+00,4.38E-01,60.0,
,J02,SYBR,GLP1,miR-110,1-SI10,,27.73,27.79,0.092,6.117E+00,0.787,5.81E+00,4.38E-01,60.0,
,J03,SYBR,GLP1,miR-125,2-SI10,,33.73,34.13,0.569,4.483E-02,-1.348,3.40E-02,1.53E-02,60.0,
,J04,SYBR,GLP1,miR-125,2-SI10,,34.53,34.13,0.569,2.319E-02,-1.635,3.40E-02,1.53E-02,60.0,
,J05,SYBR,GLP1,miR-141,3-SI10,,26.37,26.30,0.094,1.862E+01,1.270,1.97E+01,1.52E+00,60.0,
,J06,SYBR,GLP1,miR-141,3-SI10,,26.24,26.30,0.094,2.077E+01,1.317,1.97E+01,1.52E+00,60.0,
,J09,SYBR,PYY,miR-210,1-SI10,,29.36,29.66,0.435,2.003E+00,0.302,1.64E+00,5.08E-01,60.0,
,J10,SYBR,PYY,miR-210,1-SI10,,29.97,29.66,0.435,1.284E+00,0.108,1.64E+00,5.08E-01,60.0,
,J11,SYBR,PYY,miR-225,2-SI10,,33.90,34.46,0.793,7.511E-02,-1.124,5.42E-02,2.95E-02,60.0,
,J12,SYBR,PYY,miR-225,2-SI10,,35.02,34.46,0.793,3.336E-02,-1.477,5.42E-02,2.95E-02,60.0,
,J13,SYBR,PYY,miR-241,3-SI10,,28.38,28.51,0.189,4.067E+00,0.609,3.71E+00,5.05E-01,60.0,
,J14,SYBR,PYY,miR-241,3-SI10,,28.64,28.51,0.189,3.354E+00,0.526,3.71E+00,5.05E-01,60.0,
,J17,SYBR,TFF1,miR-311,1-SI10,,34.05,34.90,1.208,7.266E-01,-0.139,4.64E-01,3.71E-01,60.0,
,J18,SYBR,TFF1,miR-311,1-SI10,,35.76,34.90,1.208,2.022E-01,-0.694,4.64E-01,3.71E-01,60.0,
,J19,SYBR,TFF1,miR-325,2-SI10,,38.73,36.91,2.580,2.176E-02,-1.662,1.78E-01,2.21E-01,60.0,
,J20,SYBR,TFF1,miR-325,2-SI10,,35.08,36.91,2.580,3.346E-01,-0.475,1.78E-01,2.21E-01,60.0,
,J21,SYBR,TFF1,miR-341,3-SI10,,35.33,36.20,1.220,2.776E-01,-0.557,1.77E-01,1.42E-01,60.0,
,J22,SYBR,TFF1,miR-341,3-SI10,,37.06,36.20,1.220,7.624E-02,-1.118,1.77E-01,1.42E-01,60.0,
,K01,SYBR,GLP1,miR-111,1-Ce1,,29.05,28.81,0.336,2.080E+00,0.318,2.58E+00,7.00E-01,60.0,
,K02,SYBR,GLP1,miR-111,1-Ce1,,28.57,28.81,0.336,3.071E+00,0.487,2.58E+00,7.00E-01,60.0,
,K03,SYBR,GLP1,miR-126,2-Ce1,,33.77,33.66,0.160,4.336E-02,-1.363,4.78E-02,6.25E-03,60.0,
,K04,SYBR,GLP1,miR-126,2-Ce1,,33.54,33.66,0.160,5.220E-02,-1.282,4.78E-02,6.25E-03,60.0,
,K05,SYBR,GLP1,miR-142,3-Ce1,,28.29,28.07,0.314,3.849E+00,0.585,4.69E+00,1.19E+00,60.0,
,K06,SYBR,GLP1,miR-142,3-Ce1,,27.85,28.07,0.314,5.537E+00,0.743,4.69E+00,1.19E+00,60.0,
,K09,SYBR,PYY,miR-211,1-Ce1,,32.41,32.63,0.302,2.197E-01,-0.658,1.91E-01,4.13E-02,60.0,
,K10,SYBR,PYY,miR-211,1-Ce1,,32.84,32.63,0.302,1.613E-01,-0.792,1.91E-01,4.13E-02,60.0,
,K11,SYBR,PYY,miR-226,2-Ce1,,34.80,34.76,0.063,3.899E-02,-1.409,4.03E-02,1.84E-03,60.0,
,K12,SYBR,PYY,miR-226,2-Ce1,,34.71,34.76,0.063,4.159E-02,-1.381,4.03E-02,1.84E-03,60.0,
,K13,SYBR,PYY,miR-242,3-Ce1,,31.35,31.45,0.132,4.728E-01,-0.325,4.43E-01,4.22E-02,60.0,
,K14,SYBR,PYY,miR-242,3-Ce1,,31.54,31.45,0.132,4.132E-01,-0.384,4.43E-01,4.22E-02,60.0,
,K17,SYBR,TFF1,miR-312,1-Ce1,,35.42,35.14,0.387,2.610E-01,-0.583,3.27E-01,9.34E-02,60.0,
,K18,SYBR,TFF1,miR-312,1-Ce1,,34.87,35.14,0.387,3.931E-01,-0.405,3.27E-01,9.34E-02,60.0,
,K19,SYBR,TFF1,miR-326,2-Ce1,,35.46,35.83,0.517,2.524E-01,-0.598,1.99E-01,7.53E-02,60.0,
,K20,SYBR,TFF1,miR-326,2-Ce1,,36.19,35.83,0.517,1.459E-01,-0.836,1.99E-01,7.53E-02,60.0,
,K21,SYBR,TFF1,miR-345,3-Ce1,,34.97,35.00,0.043,3.640E-01,-0.439,3.56E-01,1.15E-02,60.0,
,K22,SYBR,TFF1,miR-345,3-Ce1,,35.03,35.00,0.043,3.477E-01,-0.459,3.56E-01,1.15E-02,60.0,
,L01,SYBR,GLP1,miR-112,1-Ce2,,28.84,28.70,0.200,2.452E+00,0.389,2.77E+00,4.51E-01,60.0,
,L02,SYBR,GLP1,miR-112,1-Ce2,,28.56,28.70,0.200,3.090E+00,0.490,2.77E+00,4.51E-01,60.0,
,L03,SYBR,GLP1,miR-127,2-Ce2,,30.71,30.66,0.077,5.311E-01,-0.275,5.56E-01,3.53E-02,60.0,
,L04,SYBR,GLP1,miR-127,2-Ce2,,30.60,30.66,0.077,5.809E-01,-0.236,5.56E-01,3.53E-02,60.0,
,L05,SYBR,GLP1,miR-143,3-Ce2,,28.64,28.54,0.141,2.901E+00,0.463,3.16E+00,3.63E-01,60.0,
,L06,SYBR,GLP1,miR-143,3-Ce2,,28.44,28.54,0.141,3.415E+00,0.533,3.16E+00,3.63E-01,60.0,
,L09,SYBR,PYY,miR-212,1-Ce2,,30.91,30.98,0.101,6.513E-01,-0.186,6.19E-01,4.52E-02,60.0,
,L10,SYBR,PYY,miR-212,1-Ce2,,31.05,30.98,0.101,5.873E-01,-0.231,6.19E-01,4.52E-02,60.0,
,L11,SYBR,PYY,miR-227,2-Ce2,,33.71,33.98,0.376,8.588E-02,-1.066,7.22E-02,1.94E-02,60.0,
,L12,SYBR,PYY,miR-227,2-Ce2,,34.24,33.98,0.376,5.844E-02,-1.233,7.22E-02,1.94E-02,60.0,
,L13,SYBR,PYY,miR-243,3-Ce2,,33.02,32.77,0.354,1.419E-01,-0.848,1.73E-01,4.38E-02,60.0,
,L14,SYBR,PYY,miR-243,3-Ce2,,32.52,32.77,0.354,2.037E-01,-0.691,1.73E-01,4.38E-02,60.0,
,L17,SYBR,TFF1,miR-313,1-Ce2,,35.16,35.21,0.069,3.152E-01,-0.501,3.04E-01,1.58E-02,60.0,
,L18,SYBR,TFF1,miR-313,1-Ce2,,35.26,35.21,0.069,2.929E-01,-0.533,3.04E-01,1.58E-02,60.0,
,L19,SYBR,TFF1,miR-327,2-Ce2,,35.25,35.33,0.110,2.949E-01,-0.530,2.79E-01,2.30E-02,60.0,
,L20,SYBR,TFF1,miR-327,2-Ce2,,35.41,35.33,0.110,2.623E-01,-0.581,2.79E-01,2.30E-02,60.0,
,L21,SYBR,TFF1,miR-346,3-Ce2,,N/A,0.00,0.000,N/A,N/A,0.00E+00,0.00E+00,60.0,
,L22,SYBR,TFF1,miR-346,3-Ce2,,37.13,37.13,0.000,7.226E-02,-1.141,7.23E-02,0.00E+00,60.0,
,M01,SYBR,GLP1,miR-113,1-Co1,,28.29,28.35,0.090,3.876E+00,0.588,3.68E+00,2.71E-01,60.0,
,M02,SYBR,GLP1,miR-113,1-Co1,,28.41,28.35,0.090,3.493E+00,0.543,3.68E+00,2.71E-01,60.0,
,M03,SYBR,GLP1,miR-128,2-Co1,,34.11,33.88,0.326,3.281E-02,-1.484,4.03E-02,1.06E-02,60.0,
,M04,SYBR,GLP1,miR-128,2-Co1,,33.65,33.88,0.326,4.787E-02,-1.320,4.03E-02,1.06E-02,60.0,
,M05,SYBR,GLP1,miR-144,3-Co1,,29.27,29.28,0.018,1.730E+00,0.238,1.71E+00,2.57E-02,60.0,
,M06,SYBR,GLP1,miR-144,3-Co1,,29.30,29.28,0.018,1.694E+00,0.229,1.71E+00,2.57E-02,60.0,
,M09,SYBR,PYY,miR-213,1-Co1,,29.01,29.07,0.082,2.567E+00,0.409,2.46E+00,1.45E-01,60.0,
,M10,SYBR,PYY,miR-213,1-Co1,,29.13,29.07,0.082,2.361E+00,0.373,2.46E+00,1.45E-01,60.0,
,M11,SYBR,PYY,miR-228,2-Co1,,37.29,37.68,0.541,6.431E-03,-2.192,5.06E-03,1.93E-03,60.0,
,M12,SYBR,PYY,miR-228,2-Co1,,38.06,37.68,0.541,3.697E-03,-2.432,5.06E-03,1.93E-03,60.0,
,M13,SYBR,PYY,miR-244,3-Co1,,31.13,31.32,0.277,5.566E-01,-0.254,4.88E-01,9.71E-02,60.0,
,M14,SYBR,PYY,miR-244,3-Co1,,31.52,31.32,0.277,4.193E-01,-0.377,4.88E-01,9.71E-02,60.0,
,M17,SYBR,TFF1,miR-314,1-Co1,,35.53,35.72,0.270,2.391E-01,-0.621,2.09E-01,4.21E-02,60.0,
,M18,SYBR,TFF1,miR-314,1-Co1,,35.92,35.72,0.270,1.796E-01,-0.746,2.09E-01,4.21E-02,60.0,
,M19,SYBR,TFF1,miR-328,2-Co1,,34.44,35.53,1.550,5.435E-01,-0.265,3.24E-01,3.10E-01,60.0,
,M20,SYBR,TFF1,miR-328,2-Co1,,36.63,35.53,1.550,1.052E-01,-0.978,3.24E-01,3.10E-01,60.0,
,M21,SYBR,TFF1,miR-347,3-Co1,,33.06,33.50,0.624,1.528E+00,0.184,1.16E+00,5.22E-01,60.0,
,M22,SYBR,TFF1,miR-347,3-Co1,,33.94,33.50,0.624,7.893E-01,-0.103,1.16E+00,5.22E-01,60.0,
,N01,SYBR,GLP1,miR-114,1-Co2,,32.07,32.12,0.070,1.748E-01,-0.757,1.68E-01,9.57E-03,60.0,
,N02,SYBR,GLP1,miR-114,1-Co2,,32.17,32.12,0.070,1.613E-01,-0.792,1.68E-01,9.57E-03,60.0,
,N03,SYBR,GLP1,miR-129,2-Co2,,28.62,28.58,0.051,2.954E+00,0.470,3.04E+00,1.28E-01,60.0,
,N04,SYBR,GLP1,miR-129,2-Co2,,28.54,28.58,0.051,3.135E+00,0.496,3.04E+00,1.28E-01,60.0,
,N05,SYBR,GLP1,miR-145,3-Co2,,27.67,27.72,0.068,6.423E+00,0.808,6.18E+00,3.44E-01,60.0,
,N06,SYBR,GLP1,miR-145,3-Co2,,27.77,27.72,0.068,5.937E+00,0.774,6.18E+00,3.44E-01,60.0,
,N09,SYBR,PYY,miR-214,1-Co2,,32.12,32.10,0.024,2.714E-01,-0.566,2.75E-01,4.76E-03,60.0,
,N10,SYBR,PYY,miR-214,1-Co2,,32.09,32.10,0.024,2.781E-01,-0.556,2.75E-01,4.76E-03,60.0,
,N11,SYBR,PYY,miR-229,2-Co2,,30.28,30.12,0.228,1.026E+00,0.011,1.16E+00,1.91E-01,60.0,
,N12,SYBR,PYY,miR-229,2-Co2,,29.96,30.12,0.228,1.296E+00,0.113,1.16E+00,1.91E-01,60.0,
,N13,SYBR,PYY,miR-245,3-Co2,,29.58,29.48,0.141,1.702E+00,0.231,1.83E+00,1.87E-01,60.0,
,N14,SYBR,PYY,miR-245,3-Co2,,29.38,29.48,0.141,1.966E+00,0.294,1.83E+00,1.87E-01,60.0,
,N17,SYBR,TFF1,miR-315,1-Co2,,36.77,35.66,1.579,9.437E-02,-1.025,2.99E-01,2.89E-01,60.0,
,N18,SYBR,TFF1,miR-315,1-Co2,,34.54,35.66,1.579,5.027E-01,-0.299,2.99E-01,2.89E-01,60.0,
,N19,SYBR,TFF1,miR-329,2-Co2,,36.40,35.61,1.124,1.247E-01,-0.904,2.67E-01,2.02E-01,60.0,
,N20,SYBR,TFF1,miR-329,2-Co2,,34.81,35.61,1.124,4.102E-01,-0.387,2.67E-01,2.02E-01,60.0,
,N21,SYBR,TFF1,miR-348,3-Co2,,36.17,35.93,0.344,1.482E-01,-0.829,1.81E-01,4.60E-02,60.0,
,N22,SYBR,TFF1,miR-348,3-Co2,,35.69,35.93,0.344,2.133E-01,-0.671,1.81E-01,4.60E-02,60.0,
,O01,SYBR,GLP1,miR-115,1-Co4,,33.69,33.48,0.299,4.622E-02,-1.335,5.58E-02,1.36E-02,60.0,
,O02,SYBR,GLP1,miR-115,1-Co4,,33.27,33.48,0.299,6.538E-02,-1.185,5.58E-02,1.36E-02,60.0,
,O03,SYBR,GLP1,miR-130,2-Co3,,28.93,28.85,0.109,2.294E+00,0.361,2.45E+00,2.18E-01,60.0,
,O04,SYBR,GLP1,miR-130,2-Co3,,28.77,28.85,0.109,2.603E+00,0.415,2.45E+00,2.18E-01,60.0,
,O05,SYBR,GLP1,miR-146,3-Co3,,28.85,28.77,0.114,2.435E+00,0.386,2.61E+00,2.44E-01,60.0,
,O06,SYBR,GLP1,miR-146,3-Co3,,28.69,28.77,0.114,2.780E+00,0.444,2.61E+00,2.44E-01,60.0,
,O09,SYBR,PYY,miR-215,1-Co4,,36.26,35.67,0.836,1.360E-02,-1.867,2.28E-02,1.30E-02,60.0,
,O10,SYBR,PYY,miR-215,1-Co4,,35.08,35.67,0.836,3.198E-02,-1.495,2.28E-02,1.30E-02,60.0,
,O11,SYBR,PYY,miR-230,2-Co3,,28.85,28.77,0.106,2.896E+00,0.462,3.06E+00,2.35E-01,60.0,
,O12,SYBR,PYY,miR-230,2-Co3,,28.70,28.77,0.106,3.229E+00,0.509,3.06E+00,2.35E-01,60.0,
,O13,SYBR,PYY,miR-246,3-Co3,,28.01,27.99,0.033,5.284E+00,0.723,5.37E+00,1.27E-01,60.0,
,O14,SYBR,PYY,miR-246,3-Co3,,27.97,27.99,0.033,5.463E+00,0.737,5.37E+00,1.27E-01,60.0,
,O17,SYBR,TFF1,miR-351,1-Co4,,35.79,36.90,1.560,1.969E-01,-0.706,1.17E-01,1.13E-01,60.0,
,O18,SYBR,TFF1,miR-351,1-Co4,,38.00,36.90,1.560,3.774E-02,-1.423,1.17E-01,1.13E-01,60.0,
,O19,SYBR,TFF1,miR-330,2-Co3,,34.79,35.05,0.367,4.166E-01,-0.380,3.50E-01,9.48E-02,60.0,
,O20,SYBR,TFF1,miR-330,2-Co3,,35.31,35.05,0.367,2.825E-01,-0.549,3.50E-01,9.48E-02,60.0,
,O21,SYBR,TFF1,miR-349,3-Co3,,30.06,29.98,0.123,1.438E+01,1.158,1.54E+01,1.41E+00,60.0,
,O22,SYBR,TFF1,miR-349,3-Co3,,29.89,29.98,0.123,1.638E+01,1.214,1.54E+01,1.41E+00,60.0,
,P03,SYBR,GLP1,miR-131,2-Co4,,26.91,26.77,0.186,1.200E+01,1.079,1.34E+01,2.04E+00,60.0,
,P04,SYBR,GLP1,miR-131,2-Co4,,26.64,26.77,0.186,1.489E+01,1.173,1.34E+01,2.04E+00,60.0,
,P05,SYBR,GLP1,miR-147,3-Co4,,26.56,26.52,0.050,1.595E+01,1.203,1.64E+01,6.77E-01,60.0,
,P06,SYBR,GLP1,miR-147,3-Co4,,26.49,26.52,0.050,1.690E+01,1.228,1.64E+01,6.77E-01,60.0,
,P11,SYBR,PYY,miR-231,2-Co4,,27.34,27.16,0.256,8.580E+00,0.934,9.87E+00,1.82E+00,60.0,
,P12,SYBR,PYY,miR-231,2-Co4,,26.98,27.16,0.256,1.115E+01,1.047,9.87E+00,1.82E+00,60.0,
,P13,SYBR,PYY,miR-247,3-Co4,,27.36,27.19,0.229,8.512E+00,0.930,9.63E+00,1.59E+00,60.0,
,P14,SYBR,PYY,miR-247,3-Co4,,27.03,27.19,0.229,1.076E+01,1.032,9.63E+00,1.59E+00,60.0,
,P19,SYBR,TFF1,miR-331,2-Co4,,34.70,34.86,0.214,4.448E-01,-0.352,4.00E-01,6.39E-02,60.0,
,P20,SYBR,TFF1,miR-331,2-Co4,,35.01,34.86,0.214,3.545E-01,-0.450,4.00E-01,6.39E-02,60.0,
,P21,SYBR,TFF1,miR-350,3-Co4,,36.06,36.10,0.051,1.608E-01,-0.794,1.57E-01,6.03E-03,60.0,
,P22,SYBR,TFF1,miR-350,3-Co4,,36.14,36.10,0.051,1.523E-01,-0.817,1.57E-01,6.03E-03,60.0,
